政令,明治五年太政官布告第三百三十七号,明治五年太政官布告第三百三十七号（改暦ノ布告）,かいれきのふこく,105DF0000000337,改暦の布告
法律,明治三十二年法律第四十八号,商法,しょうほう,132AC0000000048
法律,明治三十二年法律第四十九号,商法施行法,しょうほうせこうほう,132AC0000000049
法律,明治三十二年法律第五十号,明治三十二年法律第五十号（外国人ノ署名捺印及無資力証明ニ関スル法律）,がいこくじんのしょめいなついんおよびむしりょくしょうめいにかんするほうりつ,132AC0000000050
法律,明治三十二年法律第九十三号,行旅病人及行旅死亡人取扱法,こうりょびょうにんおよびこうりょしぼうにんとりあつかいほう,132AC0000000093,行旅法
法律,明治三十二年法律第九十五号,水難救護法,すいなんきゅうごほう,132AC0000000095
法律,明治三十二年法律第百一号,明治三十二年法律第百一号（国債ヲ外国ニ於テ募集スル場合ニ関スル法律）,こくさいをがいこくにおいてぼしゅうするばあいにかんするほうりつ,132AC0000000101
法律,明治三十二年法律第四十号,明治三十二年法律第四十号（失火ノ責任ニ関スル法律）,しっかのせきにんにかんするほうりつ,132AC1000000040,失火責任法,失火法
勅令,明治三十二年勅令,日本国及希臘国間修好通商航海条約,にほんこくおよびぎりしゃこくかんしゅうこうつうしょうこうかいじょうやく,132IO0000000001
勅令,明治三十二年勅令第二百七十七号,明治三十二年勅令第二百七十七号（行旅病人死亡人等ノ引取及費用弁償ニ関スル件）,こうりょびょうにんしぼうにんとうのひきとりおよびひようべんしょうにかんするけん,132IO0000000277,行旅病人死亡人等の引取及費用弁償に関する件
府省令,明治三十二年大蔵省令第二十二号,明治三十二年大蔵省令第二十二号（英国倫敦ニ於テ募集スル公債ニ関スル手続方法）,えいこくろんどんにおいてぼしゅうするこうさいにかんするてつづきほうほう,132M10000040022
府省令,明治三十二年逓信省令第十九号,明治三十二年逓信省令第十九号（商法第七百九条ニ規定スル属具目録ノ書式ノ件）,しょうほうだいななひゃくきゅうじょうにきていするぞくぐもくろくのしょしきのけん,132M10001000019
府省令,明治三十二年逓信省令第二十号,明治三十二年逓信省令第二十号（商法施行法第百二十二条ノ規定ニ依ル湖川、港湾及沿岸小航海ノ範囲ニ関スル件）,しょうほうせこうほうだいひゃくにじゅうにじょうのきていによるこせんこうわんおよびえんがんしょうこうかいのはんいにかんするけん,132M10001000020
府省令,明治三十二年逓信省令第二十四号,船舶法施行細則,せんぱくほうせこうさいそく,132M10001000024
府省令,明治三十二年逓信省令第三十五号,水難救護法施行細則,すいなんきゅうごほうせこうさいそく,132M10001000035
法律,明治三十三年法律第六十五号,鉄道営業法,てつどうえいぎょうほう,133AC0000000065
法律,明治三十三年法律第三十三号,二十歳未満ノ者ノ喫煙ノ禁止ニ関スル法律,みせいねんしゃきつえんきんしほう,133AC1000000033
法律,明治三十三年法律第七十二号,明治三十三年法律第七十二号（地上権ニ関スル法律）,ちじょうけんにかんするほうりつ,133AC1000000072
勅令,明治三十三年勅令第一号,窒息セシムヘキ瓦斯又ハ有毒質ノ瓦斯ヲ散布スルヲ唯一ノ目的トスル投射物ノ使用ヲ各自ニ禁止スル宣言書,ちっそくせしむへきがすまたはゆうどくしつのがすをさんぷするをゆいいつのもくてきとするとうしゃもののしようをかくじにきんしするせんげんしょ,133IO0000000001
勅令,明治三十三年勅令第二号,外包硬固ナル弾丸ニシテ其ノ外包中心ノ全部ヲ蓋包セス若ハ其ノ外包ニ截刻ヲ施シタルモノノ如キ人体内ニ入テ容易ニ開展シ又ハ扁平ト為ルヘキ弾丸ノ使用ヲ各自ニ禁止スル宣言書,がいほうこうこなるだんがんにしてそのがいほうちゅうしんのぜんぶをがいほうせすもしくはそのがいほうにせつこくをほどこしたるもののごときじんたいないにいりてよういにかいてんしまたはへんぺいなるへきだんがんのしようをかくじにきんしするせんげんしょ,133IO0000000002
勅令,明治三十三年勅令第三百二十九号,明治三十三年勅令第三百二十九号（救恤又ハ学芸技術奨励寄附金等ノ保管出納ニ関スル件）,きゅうじゅつもしくはがくげいぎじゅつしょうれいきふきんとうのほかんすいとうにかんするけん,133IO0000000329
勅令,明治三十三年勅令第四百九号,明治三十三年勅令第四百九号（相続人曠欠ノ場合ニ於テ国庫ニ帰属シタル財産ノ引渡ニ関スル件）,そうぞくにんこうけつのばあいにおいてこっこにきぞくしたるざいさんのひきわたしにかんするけん,133IO0000000409
府省令,明治三十三年司法省令第二十五号,明治三十三年司法省令第二十五号（外国ニ於テ婚姻ヲ為ストキノ証明書ニ関スル件）,がいこくにおいてこんいんをなすときのしょうめいしょにかんするけん,133M10000010025
府省令,明治三十三年逓信省令第三十八号,伝染病患者鉄道乗車規程,でんせんびょうかんじゃてつどうじょうしゃきてい,133M10001000038
勅令,明治三十四年勅令第一号,日西特別通商条約,にっせいとくべつつうしょうじょうやく,134IO0000000001
法律,明治三十五年法律第十一号,明治三十五年法律第十一号（警察署内ノ留置場ニ拘禁又ハ留置セラルル者ノ費用ニ関スル法律）,けいさつしょないのりゅうちじょうにこうきんまたはりゅうちせらるるもののひようにかんするほうりつ,135AC0000000011
法律,明治三十五年法律第五十号,明治三十五年法律第五十号（年齢計算ニ関スル法律）,ねんれいけいさんにかんするほうりつ,135AC1000000050
